id;nom;niveau;complexite;discipline;sphere;cout;tempsIncantation;uniteIncantation;difficulte;cle;effet;rulebook;effetJeu;perception;duree;dureeUnite;cibles;tags
lesprit-des-rues;L'esprit des rues;3;65;Instinctive;Cités;10;3;Action;25;Robe de soie blanche, pièce saturée de vapeurs d'encens de Khy (équivalent de vingt bâtons, consommés), gouttelettes d'huile de nacre (à appliquer sur les yeux, consommées).;"Difficile à lancer, ce sort nécessite souvent des préparatifs soignés ou une assistance extérieure pour être correctement mis en place. Juste avant de se réveiller ou de s'endormir, le personnage peut échapper aux lois de la physique humaine et devenir littéralement invisible pour toute la journée ou toute la nuit qui suit. Sous cette "" forme "", il ne peut ni parler, ni se faire entendre, ni user de magie, mais reste capable de toucher toute matière physique. Chacune de ses actions reste perceptible dans la réalité et peut le faire remarquer. La Difficulté du jet de Mental+Perception pour le repérer à ce moment est égale à son score obtenu lors de son jet d'incantation. Ce sort n'affecte pas les dragons des cités. Tant qu'il n'effectue aucune action susceptible de le faire repérer (bouger un objet, porter un coup, etc...), il n'est pas possible de tenter de jet. Une fois qu'une personne a perçu le personnage, elle n'est plus sensible au sort et le voit normalement. Elle ne peut par contre que le désigner approximativement à d'autres spectateurs, lesquels ne le voient toujours pas et doivent attendre une action réagissant avec la réalité pour tenter un jet. Une fois que le sort a été outrepassé par autant de spectateurs que la Tendance Homme du personnage, le charme se dissipe irrévocablement.";compagnons-de-khy;Lancé juste avant de s'endormir ou de se réveiller, rend le mage invisible pour toute la journée ou toute la nuit qui suit. Sous cette forme il ne peut ni parler, ni se faire entendre, ni user de magie, mais peut toucher la matière physique. La Difficulté du jet de Mental + Perception pour le repérer est égale à son score d'incantation, et n'est tentable qu'après une action perceptible (bouger un objet, porter un coup). Qui l'a perçu une fois le voit normalement ensuite, et ne peut le désigner aux autres qu'approximativement. Le charme se dissipe irrévocablement une fois outrepassé par autant de spectateurs que la Tendance Homme du mage. N'affecte pas les dragons des cités.;;;;;illusion,self,urban,exploration
la-bague-des-amants;La bague des amants;3;95;Sorcellerie;Cités;13;5;Heure;25;Bague de Bonne qualité, lumière de Khyméra, sentiment d'amour (ressenti par quelqu'un d'autre que le mage durant tout l'enchantement);Ce sortilège permet d'enchanter une bague – ou par extension, tout bijou discret pouvant être offert – pour permettre à son porteur et à son enchanteur d'établir une forme singulière de communication empathique. En lançant ce sortilège, le mage doit se concentrer sur la personne à qui il souhaite l'offrir, car l'enchantement est à destination unique et ne fonctionne que si l'objet est porté par le bénéficiaire désigné au moment de l'incantation. Par la suite et durant un Cycle, en réussissant un jet de Mental + Empathie + Tendance Homme contre une Difficulté de 20, le porteur de l'objet peut provoquer une relation télépathique à double sens pour entendre l'enchanteur de l'objet et parler librement avec lui pendant 1 + 1/NR minutes (calculés sur le jet de Mental+Empathie). De son côté, l'enchanteur peut faire de même quand il le désire, mais la Difficulté de son propre jet de Mental + Empathie + Tendance Homme est de 15. Cette liaison peut être utilisée trois fois par jour, mais s'il le désire, le porteur du bijou peut l'activer artificiellement en dépensant cinq de ses points de magie par contact. Le Mj reste libre de modifier ces Difficultés en fonction de la distance et des circonstances dans lesquelles les jets sont effectués – stress extrême, fatigue, proximité, disputes, etc.;compagnons-de-khy;Enchante une bague — ou tout bijou discret pouvant être offert — à destination unique : ne fonctionne que porté par le bénéficiaire désigné au moment de l'incantation. Le porteur ouvre une liaison télépathique à double sens en réussissant un jet de Mental + Empathie + Tendance Homme contre une Difficulté de 20, et parle librement avec l'enchanteur pendant (1 + 1 par NR) minutes. L'enchanteur peut faire de même à volonté, sa Difficulté étant de 15. Utilisable trois fois par jour, ou davantage si le porteur dépense cinq points de magie par contact.;;1;cycle;;communication,object,social
la-robe-du-citadin;La robe du citadin;3;75;Sorcellerie;Cités;19;8;Heure;22;Vêtement de qualité, fil d'argent, rune de Khy;Ce sortilège extrêmement populaire a fait la gloire de nombreux artisans élémentaires et sorciers des Cités. Il permet d'ensorceler un vêtement durant un an pour lui conférer plusieurs capacités mineures très utiles en ville. En premier lieu, le porteur dispose d'un bonus de +1 en Social. Il peut de plus changer les motifs et les couleurs de son vêtement une fois par jour, ce qui permet de changer de tenue en ne possédant qu'un habit. Il confère au vêtement une solidité particulière qui lui octroie un indice de protection de 3. La résistance surnaturelle du vêtement fait disparaître toute déchirure ou accroc en une nuit, ce qui régénère les points d'armure et évite tout entretien actif. Enfin, les poches du vêtement communiquent magiquement entre elles et permettent de tirer de sa poche gauche un objet placé dans la poche droite ou encore d'accéder à sa ceinture ou sa tunique sans avoir à retirer sa robe. Dans ces circonstances, un voleur à la tire qui tenterait de faire les poches au mage subirait un malus égal à la Sphère des cités du lanceur. Ce sort est une exception, car il peut être lancé par un artisan élémentaire des cités par un jet de Manuel+Artisanat élémentaire contre la Difficulté du sort et la dépense normale des 19 points de magie (par contre, un artisan élémentaire ne peut disposer de bonus dus à des sites élémentaires ou des Eéries, voir p.206). Un artisan élémentaire aura besoin des mêmes Clés qu'un mage, même s'il s'en servira différemment (au lieu de coudre et d'enchanter, il fusionnera les matériaux et sculptera la rune dans le tissu). Les robes de ce type font l'objet d'un commerce hautement spécialisé uniquement géré par les Négociants de la caste (III° Statut). Leur prix varie en général entre (300 à 500 x Sphère ou Artisanat élémentaire du mage) df. Ils sont indétectables en tant que tel.;compagnons-de-khy;"Ensorcelle un vêtement pour un an : +1 en Social ; motifs et couleurs changeables une fois par jour ; indice de protection de 3, dont les points se régénèrent en une nuit, toute déchirure disparaissant sans entretien ; les poches communiquent magiquement entre elles, et un voleur à la tire subit un malus égal à la Sphère des cités du lanceur. Exception : peut être lancé par un artisan élémentaire des cités sur un jet de Manuel + Artisanat élémentaire contre la Difficulté du sort, sans bonus de site élémentaire ni d'Eérie. Indétectable en tant qu'objet enchanté ; prix courant de 300 à 500 × Sphère (ou Artisanat élémentaire) df.";;1;year;;buff,protection,object,urban
le-seuil;Le Seuil;3;60;Sorcellerie;Cités;9;30;Minute;21;Un élément d'architecture de Bonne qualité, huile élémentaire spéciale (poudre d'argent et de nacre mélangées à du Sang de Moryagorn), rune de Khy (tracée avec l'huile élémentaire);"Ce sortilège très puissant réservé à de rares mages des cités, permet de créer un portail entre deux endroits distincts d'une cité. Ainsi, après avoir enchanté une porte, une statue, l'angle d'un bâtiment, le personnage peut choisir un autre élément (qu'il a au moins vu une fois personnellement), situé dans la même cité, où il se transportera instantanément dès qu'il entrera en contact avec le premier lieu enchanté. La distance maximale entre les deux sites ne peut dépasser 100 fois le niveau de (Sphère des cités + Statut) du personnage en mètres. Ainsi, un mage de Statut IV possédant 8 en Sphère des cités pourra choisir deux lieux distants de 1.200 mètres au maximum. Le personnage "" disparaît "" dès qu'il touche l'un des deux sites et se retrouve instantanément à l'autre extrémité. Si la cité est un enfant de Khy sous forme élémentaire, l'esprit du personnage peut se retrouver confronté à celui du dragon lors de son voyage qui, s'il reste immédiat, peut se prolonger dans ce monde immatériel qui sépare les deux portes (relire à ce sujet le sort Ombre des ruelles ""). Le personnage doit réussir un jet de Magie instinctive + Sphère des Cités contre une Difficulté de 20 pour réussir à se transporter. Si le jet est raté, il ne parvient pas à se glisser dans la faille magique constituée par la porte. Il ne peut alors pas tenter de réutiliser le Seuil durant dix minutes. Il est possible d'emmener par le Seuil des êtres possédant au moins 1 en Tendance Homme. Cette possibilité est définie à la création du Seuil, à raison d'une personne par NR sur le jet d'incantation. Chaque passage demande un point de magie du mage (plus un par allié emporté). Le seuil reste ouvert jusqu'au prochain lever ou coucher du soleil. Lancer ce sort est une tentative de gauchir la réalité en fonction de la force d'esprit du mage. Si le sort est manqué, un Seuil est toutefois créé sans que le mage se doute d'une anomalie. Ce n'est que lors du transport que des complications peuvent apparaître, comme une dépense plus importante de points de magie, un décalage avec le point d'arrivé prévu, un délai de transport de plusieurs minutes, etc... Dans tous les cas, ces désagréments sont gênants sans être très dangereux (à discrétion du Mj). Par contre, en cas d'échec critique, le Mj est libre d'inventer toutes sortes de complications réellement dangereuses (relire à ce propos les dangers liés aux voyages Eériques dans La Colère des Dragons, p.15, qui s'ils ne sont pas directement applicables, donnent de bonnes inspirations).";compagnons-de-khy;"Crée un portail entre deux lieux d'une même cité — le second devant avoir été vu au moins une fois. Distance maximale de 100 × (Sphère des cités + Statut) mètres. Le passage demande un jet de Magie instinctive + Sphère des Cités contre une Difficulté de 20 ; échoué, le Seuil ne peut être retenté avant dix minutes. Peut emmener des êtres ayant au moins 1 en Tendance Homme, à raison d'une personne par NR au lancement, et coûte un point de magie par passage (plus un par allié). Reste ouvert jusqu'au prochain lever ou coucher du soleil. Un sort manqué crée quand même un Seuil sans que le mage s'en doute : les complications n'apparaissent qu'au transport (dépense accrue, décalage du point d'arrivée, délai de plusieurs minutes) et restent gênantes sans être dangereuses, sauf échec critique.";Le personnage disparaît dès qu'il touche l'un des deux sites et se retrouve instantanément à l'autre. Si la cité est un enfant de Khy sous forme élémentaire, son esprit peut croiser celui du dragon dans le monde immatériel qui sépare les deux portes.;;;NR;movement,place,urban
langue-de-feu;Langue de feu;1;15;Instinctive;Feu;3;1;Action;15;Poudre de souffre (consommée), voix crépitante, expiration mesurée;Le mage peut générer à la surface de son corps une petite flamme inoffensive dont il peut contrôler l'intensité durant 1+1/NR tours. Contrairement au Souffle ardent, ce sort ne provoque pas de dommages notables mais peut servir à calciner de petits objets ou à travailler un matériau car il est très précis et délicat.;foudres-de-kroryn;Génère à la surface du corps du mage une petite flamme inoffensive dont il contrôle l'intensité. Ne provoque pas de dommages notables, mais sert à calciner de petits objets ou à travailler un matériau, étant très précise et délicate.;;1 + 1 par NR;round;;utility,self,exploration
coup-de-tonnerre;Coup de tonnerre;1;15;Instinctive;Feu;5;2;Action;15;Respiration bloquée, claquement violent des mains, regard fixe;Une explosion est provoquée juste à côté des oreilles d'une cible distante de moins de trente mètres. Ce sort peut toucher 1+1/NR cibles et impose un jet de Mental+Résistance contre une Difficulté de 20. S'il est manqué, la ou les cibles sont assourdies par le bruit et perdent toutes leurs actions pendant 2 tours. Si la ou les cibles ratent leur jet de façon Critique, elles deviennent complètement sourdes pour une journée.;foudres-de-kroryn;"Provoque une explosion juste à côté des oreilles de (1 + 1 par NR) cibles distantes de moins de trente mètres. Chacune doit réussir un jet de Mental + Résistance contre une Difficulté de 20 ; manqué, elle est assourdie et perd toutes ses actions pendant 2 tours. Sur un échec critique, elle devient complètement sourde pour une journée.";;2;round;1 + 1 par NR;debuff,enemy,combat
fulgurance;Fulgurance;1;15;Instinctive;Feu;3;1;Action;15;Rune de la foudre, kata de la fureur des braises (Corps à corps Diff.15), regard vitreux;Ce sort augmente la vitesse du magicien, qui perçoit alors les mouvements de son entourage au ralenti. Cette altération lui octroie un bonus de +3 sur tous ses jets de défense physique (esquive, parade). De plus, il dispose d'un bonus de +3 sur tous ses jets d'attaque. Ce sort n'influe pas sur le nombre d'actions ou la vitesse de déplacement du mage et dure 1+1/NR tours.;foudres-de-kroryn;Bonus de +3 sur tous les jets de défense physique — esquive, parade — et de +3 sur tous les jets d'attaque. N'influe ni sur le nombre d'actions, ni sur la vitesse de déplacement du mage.;Le magicien perçoit les mouvements de son entourage au ralenti.;1 + 1 par NR;round;;buff,self,combat
subjugation;Subjugation;1;15;Instinctive;Feu;5;1;Action;15;Runes de la lumière et des volcans entremêlées (Don artistique: Dessin de Diff.15), danse de la salamandre, murmure lancinant;Le magicien choisit une cible à moins de 20 mètres et l'hypnotise par le mouvement d'une aura d'étincelles qui danse autour de lui. La victime doit réussir un jet d'Opposition de Mental+Volonté contre le score d'incantation du mage pour résister. Dans le cas contraire, elle se perd dans la contemplation des effets de lumière qui jaillissent des mains du magicien. Deux de ses dés d'Initiative (au choix, mais désignés avant le lancer) subissent alors un malus de -5 pendant 1+1/NR tours. Les dés dont le score tombe à 0 ou moins sont perdus et inutilisables.;foudres-de-kroryn;Cible à moins de 20 mètres, qui doit réussir un jet d'opposition de Mental + Volonté contre le score d'incantation pour résister. Sinon, deux de ses dés d'Initiative — au choix, mais désignés avant le lancer — subissent un malus de -5. Les dés dont le score tombe à 0 ou moins sont perdus et inutilisables.;"Une aura d'étincelles danse autour du magicien ; la victime se perd dans la contemplation des effets de lumière qui jaillissent de ses mains.";1 + 1 par NR;round;;debuff,enemy,combat
scintillements;Scintillements;1;20;Invocatoire;Feu;5;1;Tour;18;Limaille de cuivre (consommée), position (bras croisés sur les oreilles, puis mains descendant vivement le long des flancs), mélopée sourde.;Le magicien choisit une cible à moins de 10 m et lance la limaille de cuivre dans sa direction. Il se crée alors une cascade jaillissant du néant qui recouvre la cible de minuscules étincelles virevoltantes. Elles lui confèrent alors un bonus de protection physique de +8, dont l'indice est cumulable avec d'autres armures ou sorts de protection. Les étincelles scintillent pendant 4 +1/NR tours avant de disparaître.;foudres-de-kroryn;Confère à une cible située à moins de 10 m un bonus de protection physique de +8, cumulable avec d'autres armures ou sorts de protection.;Une cascade jaillie du néant recouvre la cible de minuscules étincelles virevoltantes, qui scintillent avant de disparaître.;4 + 1 par NR;round;;protection,ally,combat
espion-igne;Espion igné;1;20;Invocatoire;Feu;4;2;Tour;18;Bille de verre rouge (consommée), position (en tailleur, mains croisées sur les yeux), quelques braises où poser la bille de verre (consommées);Le magicien utilise toutes les sources de lumière à moins de 50 mètres (feu de camp, torche) pour y projeter ses sens et ainsi voir et entendre pendant 5+1/NR minutes. Il ne peut projeter ses sens que dans une seule source à la fois. Si le sort est manqué, le mage entrouvre brièvement une fissure dans la trame de la réalité entre lui et le feu le plus proche, s'infligeant 10 points de dommages par brûlure. De même, si la source dans laquelle il se trouve est brutalement éteinte, le sort est brisé et le mage subit cette fois 20 points de dommages psychiques à cause de la rupture.;foudres-de-kroryn;Projette les sens du mage dans une source de lumière située à moins de 50 mètres — feu de camp, torche — pour y voir et entendre. Une seule source à la fois. Si le sort est manqué, le mage entrouvre une fissure dans la trame de la réalité entre lui et le feu le plus proche et subit 10 points de dommages par brûlure. Si la source où il se trouve est brutalement éteinte, le sort est brisé et il subit 20 points de dommages psychiques dus à la rupture.;;5 + 1 par NR;minute;;detection,exploration
les-rugissantes;Les Rugissantes;1;10;Invocatoire;Feu;4;2;Tour;15;Danse de guerre des Dompteurs de Flammes (Don artistique: Danse Diff.15), runes de l'immatérialité et des volcans imbriquées à tracer sur le corps, hurlement sauvage durant la charge;Cette invocation est utilisée lors des charges pour impressionner les adversaires. En effet, les Rugissantes sont des formes voilées qui flottent derrière le mage et qui le dépassent lors de sa charge pour se transformer en d'impressionnants monstres spectraux dont la présence est affreusement réaliste. Elles n'existent que pendant le tour de la charge du mage. Les Rugissantes effraient la cible de la charge plus deux par NR (au plus proche). Chaque victime doit réussir un jet de Mental + Volonté contre une Difficulté de 20, ou prendre immédiatement la fuite. Les mages d'au moins III° Statut sont immunisés à ce sort. Les Rugissantes n'infligent aucun dommage, mais elles changent d'apparence à chaque invocation, rendant toute habitude impossible.;foudres-de-kroryn;"S'utilise lors d'une charge. Effraie la cible de la charge plus deux par NR, au plus proche ; chaque victime doit réussir un jet de Mental + Volonté contre une Difficulté de 20 ou prendre immédiatement la fuite. N'existent que pendant le tour de la charge et n'infligent aucun dommage. Les mages d'au moins III° Statut y sont immunisés.";Des formes voilées flottent derrière le mage, le dépassent lors de sa charge et se transforment en d'impressionnants monstres spectraux, d'une présence affreusement réaliste. Elles changent d'apparence à chaque invocation, rendant toute habitude impossible.;1;round;1 + 2 par NR;debuff,summoning,enemy,combat
coursier-de-feu;Coursier de feu;1;20;Invocatoire;Feu;12;15;Tour;15;Encens de Kroryn, posture (méditation debout, jambes écartées, bras brandis vers le ciel), cercle runique formé de braises;A la fin de la méditation, le mage sort de transe alors que les runes du cercle émettent des rayons de lumière rougeâtre qui jaillissent vers le ciel. Le magicien attire alors l'attention d'un fils de Kroryn (le plus proche) pour lui demander conseil ou solliciter un transport personnel vers une destination précise. Le dragon est de la seconde tranche d'âge + 1/NR. Le dragon vient par ses propres moyens (et donc peut mettre un moment à arriver), n'a aucune obligation vis à vis du mage et ne vient pas pour se battre (il a d'ailleurs probablement d'autres affaires en cours à régler). Le magicien doit avoir une bonne raison de demander son aide et un présent pour service rendu n'est jamais superflu. Les dragons de Kroryn peuvent priver l'invocateur de l'usage de sa Sphère du feu pour un jour par tranche d'âge s'ils estiment que sa requête est futile, tout comme ils peuvent violenter un impudent qui les dérangerait sans raison. Même s'il ne vient pas pour se battre, un enfant de Kroryn est toujours prompt à la violence et les circonstances d'accueil (cérémonie, bataille, bouleversement climatique ou magique) peuvent largement altérer son humeur.;foudres-de-kroryn;Attire l'attention du fils de Kroryn le plus proche pour lui demander conseil ou solliciter un transport vers une destination précise. Le dragon est de la seconde tranche d'âge + 1 par NR. Il faut une bonne raison de solliciter son aide et un présent pour service rendu n'est jamais superflu. Les dragons de Kroryn peuvent priver l'invocateur de sa Sphère du feu pour un jour par tranche d'âge s'ils jugent la requête futile, et peuvent violenter un impudent qui les dérangerait sans raison. Même s'il ne vient pas se battre, un enfant de Kroryn est toujours prompt à la violence, et les circonstances d'accueil — cérémonie, bataille, bouleversement climatique ou magique — altèrent largement son humeur.;À la fin de la méditation, le mage sort de transe tandis que les runes du cercle émettent des rayons de lumière rougeâtre qui jaillissent vers le ciel.;;;;summoning,communication,ritual
poing-foudroyant;Poing foudroyant;2;25;Instinctive;Feu;8;2;Action;15;Rune du feu, posture (mains en coupole au-dessus de la tête, geste de lancer des deux mains), hurlement bestial;Une décharge d'énergie, mélange de foudre et de flammes élémentaires incontrôlables, sort de la main du magicien et inflige 30 +10/NR points de dommages, à une cible distante de moins de 20 mètres. En cas d'échec, c'est le magicien qui reçoit la décharge et qui subit 30 points de dommages.;foudres-de-kroryn;Inflige (30 + 10 par NR) points de dommages à une cible distante de moins de 20 mètres. En cas d'échec, c'est le magicien qui reçoit la décharge et subit 30 points de dommages.;Une décharge d'énergie, mélange de foudre et de flammes élémentaires incontrôlables, sort de la main du magicien.;;;;attack,enemy,combat
comete;Comète;2;35;Instinctive;Feu;4;2;Action;20;Poudre combustible (soufre, salpêtre ou explosif de Brorne, consommée), graviers de lave (consommés), posture (lancer en cloche la poudre et les graviers au-dessus de la cible);En lançant le mélange vers une cible située à moins de 20 mètres de lui, le mage transforme les particules en de véritables petites comètes qui retombent en une pluie incandescente à la vitesse de l'éclair. Elles infligent au total et en une seule fois 20+1D10/NR points de dommages. Ce sort ne peut être esquivé et ne se pare qu'à l'aide d'un bouclier.;foudres-de-kroryn;Inflige au total et en une seule fois (20 + 1D10 par NR) points de dommages à une cible située à moins de 20 mètres. Ne peut être esquivé et ne se pare qu'à l'aide d'un bouclier.;Les particules lancées se transforment en petites comètes qui retombent en une pluie incandescente à la vitesse de l'éclair.;;;;attack,enemy,combat
immunite-au-feu;Immunité au feu;2;40;Instinctive;Feu;6;1;Action;18;Rune des volcans tracée à la suie sur le dos des mains, posture défensive (bras croisés devant le visage);Le magicien, ou une cible de son choix à moins de 5 mètres, devient complètement immunisé aux dégâts provoqués par le feu et la chaleur pendant 2+2/NR tours (qu'ils soient d'origine magique ou naturelle). En revanche, son équipement et ses vêtements subissent des dégâts normaux. En doublant la dépense des points de magie, le magicien peut cibler en même temps deux personnes proches (moins de 2m). Il est impossible de faire profiter de ce sort à plus de 2 personnes.;foudres-de-kroryn;"Le magicien, ou une cible de son choix à moins de 5 mètres, devient complètement immunisé aux dégâts du feu et de la chaleur, d'origine magique ou naturelle. Son équipement et ses vêtements subissent en revanche des dégâts normaux. En doublant la dépense de points de magie, le mage peut cibler deux personnes proches, à moins de 2 m l'une de l'autre ; jamais plus de 2 personnes.";;2 + 2 par NR;round;;protection,ally,combat
flash;Flash;2;30;Instinctive;Feu;7;2;Action;20;Rune de l'éclair, œuf de luciole de lave (consommé), posture (doigts entrecroisés selon une position complexe);Le magicien fait exploser une boule de lumière devant les yeux d'une cible à moins de 15 mètres de lui. Pour fermer les yeux à temps, la victime doit réussir un jet d'esquive en Opposition contre le score d'incantation du mage. En cas d'échec, elle est aveuglée pendant 1+1/NR tours. Elle subit alors un malus de -8 à toutes ses actions impliquant la vue. Le mage peut doubler la dépense de points de magie pour viser en même temps, une cible supplémentaire.;foudres-de-kroryn;"Cible à moins de 15 mètres. Pour fermer les yeux à temps, la victime doit réussir un jet d'esquive en opposition contre le score d'incantation ; en cas d'échec elle est aveuglée et subit un malus de -8 à toutes ses actions impliquant la vue. Le mage peut doubler la dépense de points de magie pour viser en même temps une cible supplémentaire.";Une boule de lumière explose devant les yeux de la cible.;1 + 1 par NR;round;;debuff,enemy,combat
mur-de-flammes;Mur de flammes;2;35;Invocatoire;Feu;7;1;Tour;17;Rune du feu, poudre de pierre précieuse (rubis, opale ou agate de feu), exhalation grave;Le magicien invoque un mur de flammes d'un volume égal à deux fois son score de Sphère du feu, à 5 mètres maximum de lui. Ce volume peut prendre une forme au choix du mage, décidée durant l'invocation. Ces flammes infligent 15+1D10 points de dommages à tout ce qui les traverse. Il est impossible de le déplacer, et il reste actif pendant 10+5/NR mn.;foudres-de-kroryn;Invoque à 5 mètres au maximum un mur de flammes d'un volume égal à deux fois le score de Sphère du feu, dans une forme choisie pendant l'invocation. Inflige 15 + 1D10 points de dommages à tout ce qui le traverse. Impossible à déplacer.;;10 + 5 par NR;minute;;attack,area,combat
dryades;Dryades;2;35;Invocatoire;Feu;7;1;Tour;20;Danse sautillante, rune des volcans, pierres précieuses (minimum 200 df);Le mage invoque de petites dryades de feu qui apparaissent autour de lui (moins de deux mètres). Ces esprits follets dansent et sautillent en permanence en chantonnant d'une voix aigue et discrète. D'une intelligence rudimentaire, elles ne peuvent identifier les objets ou comprendre les termes humains désignant l'environnement. Elles sont capables de danser, chanter ou enflammer des objets combustibles sur demande. En cas de danger, elles se précipitent vers la menace en pirouettant pour la gêner, y boutant du même coup le feu et provoquant 15+1D10 points de dommages. Leur Initiative est de 1D et leur attaque ou déplacement est résolu globalement pour le groupe. Leurs attaques peuvent s'esquiver normalement sans NR, mais pas se parer. Un simple ordre permet de les rappeler. Elles restent présentes pendant 3+1/NR tours.;foudres-de-kroryn;Invoque de petites dryades de feu à moins de deux mètres du mage. D'une intelligence rudimentaire, elles ne peuvent identifier les objets ni comprendre les termes humains désignant l'environnement, mais savent danser, chanter ou enflammer des objets combustibles sur demande. En cas de danger, elles se précipitent vers la menace pour la gêner, y boutent le feu et provoquent 15 + 1D10 points de dommages. Leur Initiative est de 1D et leur attaque ou déplacement se résout globalement pour le groupe. Leurs attaques s'esquivent normalement, sans NR, mais ne se parent pas. Un simple ordre permet de les rappeler.;Ces esprits follets dansent et sautillent en permanence en chantonnant d'une voix aiguë et discrète.;3 + 1 par NR;round;;summoning,attack,combat
portail-maudit;Portail maudit;2;25;Invocatoire;Feu;7;2;Tour;15;Braises incandescentes ou source de feu, chaînette d'or ou de cuivre (consommée), danse circulaire d'enchevêtrement;Ce sort permet d'ouvrir une connexion pyrétique avec une Eérie volcanique, que le mage peut ensuite faire progresser vers une cible de son choix à moins de 25 m, l'emprisonnant ainsi dans un carcan brûlant, qui le suivra dans ses mouvements et déplacements. La cible peut tenter un jet d'esquive en Opposition contre le score d'invocation du mage. En cas d'échec, la victime est environnée de vapeurs brûlantes et sulfureuses et se dessèche à vue d'œil durant autant de tours que la Sphère du feu de l'invocateur. Elle subit alors 10 +1D10/NR points de dommages par tour sans aucune protection physique. Le seul moyen de faire disparaître la zone brûlante consiste à rendre l'invocateur inconscient ou à lancer un sort des Océans capable de créer des dommages dont le score d'invocation sera supérieur à celui du Portail maudit. Les protections surnaturelles contre le feu ou la chaleur sont utilisables, tout comme les éventuelles capacités capables de clore de force un portail d'invocation.;foudres-de-kroryn;Ouvre une connexion pyrétique avec une Eérie volcanique, que le mage fait progresser vers une cible à moins de 25 m pour l'emprisonner dans un carcan brûlant qui la suit dans ses déplacements. La cible peut tenter un jet d'esquive en opposition contre le score d'invocation. En cas d'échec, elle subit (10 + 1D10 par NR) points de dommages par tour, sans aucune protection physique, pendant autant de tours que la Sphère du feu de l'invocateur. Le seul moyen de faire disparaître la zone est de rendre l'invocateur inconscient, ou de lancer un sort des Océans créant des dommages avec un score d'invocation supérieur. Les protections surnaturelles contre le feu ou la chaleur restent utilisables, comme les capacités capables de clore de force un portail d'invocation.;La victime est environnée de vapeurs brûlantes et sulfureuses et se dessèche à vue d'œil.;SPHERE;round;;attack,enemy,combat
esprit-du-sang;Esprit du sang;2;30;Invocatoire;Feu;6;2;Tour;20;Une arme de qualité au moins Bonne, rune de Kroryn tracée avec le sang du mage sur l'arme (consommée), murmures incantatoires;Le magicien évoque l'Esprit du sang, une créature draconique née du sang de Kroryn versé sur les champs de bataille où le Grand Dragon a été blessé. Créature martyre de lave et de sang bouillonnant, l'Esprit a une forme fluctuante grossièrement draconique. Une fois invoqué, l'Esprit se focalise sur l'arme par laquelle il a été convoqué. Il s'en saisit et la plonge alors dans ses entrailles pour la rendre à son propriétaire en une action. Il se dissipe ensuite alors que l'arme dégouttante de sang igné se met à crépiter d'étincelles orangées. Durant 1+1/NR tours, l'arme ignore les armures physiques car elle peut percer et trancher n'importe quelle matière (sauf les écailles draconiques). Utilisée en combat, ses dommages sont augmentés de la Sphère de feu de l'invocateur et octroie également un bonus d'attaque de +3. Si l'invocation du sort échoue, l'invocateur perd tous les points de magie de sa Sphère du feu, absorbés par l'Esprit et l'arme utilisée fond en un clin d'œil.;foudres-de-kroryn;L'Esprit invoqué se saisit de l'arme par laquelle il a été convoqué, la plonge dans ses entrailles et la rend à son propriétaire en une action, puis se dissipe. Pendant (1 + 1 par NR) tours, l'arme ignore les armures physiques et peut percer et trancher n'importe quelle matière, sauf les écailles draconiques. Ses dommages sont augmentés de la Sphère de feu de l'invocateur, et elle octroie un bonus d'attaque de +3. Si l'invocation échoue, l'invocateur perd tous les points de magie de sa Sphère du feu, absorbés par l'Esprit, et l'arme fond en un clin d'œil.;Créature martyre de lave et de sang bouillonnant, l'Esprit a une forme fluctuante grossièrement draconique. L'arme rendue, dégouttante de sang igné, se met à crépiter d'étincelles orangées.;1 + 1 par NR;round;;buff,summoning,object,combat
exhorte;Exhorte;3;45;Instinctive;Feu;10;3;Action;15;Posture (bras écartés, pieds fermement campés, poings fermés), rugissement de défi, cercle de braises;Ce sort s'utilise lorsqu'une armée est en déroute ou qu'un groupe est effrayé. Le magicien se poste devant les rangs qui battent en retraite et leur redonne courage. Ce sort affecte les 5 cibles les plus proches du mage, plus 2 par NR, en s'éloignant progressivement de lui. Ce sort peut influencer des combattants jusqu'à (Sphère du feu x4) mètres, car les cris porteurs de la fougue de Kroryn dépendent directement de la puissance du lanceur. Ce sort n'immunise pas à la peur ultérieurement, mais peut relancer dans la bataille une troupe démoralisée. Toute perte ultérieure de moral devra être gérée séparément. Dans le cas d'un effet de peur permanent (comme un sort ou une aura de peur draconique), ce sort est efficace durant un seul tour.;foudres-de-kroryn;Redonne courage à une troupe en déroute ou à un groupe effrayé : affecte les 5 cibles les plus proches du mage, plus 2 par NR, en s'éloignant progressivement, jusqu'à (Sphère du feu × 4) mètres. N'immunise pas à la peur pour la suite — toute perte de moral ultérieure se gère séparément. Contre un effet de peur permanent, comme un sort ou une aura de peur draconique, n'est efficace qu'un seul tour.;Le magicien se poste devant les rangs qui battent en retraite et lance des cris porteurs de la fougue de Kroryn.;;;5 + 2 par NR;buff,ally,combat
